time[s],timer[ticks=0.15625ms],frameNumber[int],angle_pitch[rad],angle_roll[rad],angle_yaw[rad],latitude_best_estimate[deg],longitude_best_estimate[deg],height[m],flight_time[s]
1310127485.9210000038,6951782,3539,0.025307274153917775489,-0.034033920413889424961,0.88959431974150970923,55.237660300000001712,-6.4276020000000002597,-9.4670000000000005258,0
1310127486.1210000515,6953062,3540,0.055152404363020816891,-0.069115038378975451883,0.90652401348585476271,55.237660300000001712,-6.4276020000000002597,-9.73300000000000054,0
1310127486.3210000992,6954342,3541,0.084823001646924425789,-0.07330382858376184585,0.8782496796035466069,55.237655400000001293,-6.4276064000000001641,-9.7639999999999993463,0
1310127486.5209999084,6955622,3542,0.11187560505283652978,-0.076096355386952765909,0.9004153611038746563,55.237655400000001293,-6.4276064000000001641,-9.9819999999999993179,0
1310127486.7209999561,6956902,3543,0.10192722831646884585,-0.058468529941810037931,0.89273591239509952899,55.237650000000002137,-6.4276102000000001624,-9.8889999999999993463,0
1310127486.9210000038,6958182,3544,0.073827427359360139891,-0.016406094968746696983,0.87493355402475747606,55.237650000000002137,-6.4276102000000001624,-10.050000000000000711,0
1310127487.1210000515,6959462,3545,0.065973445725385645999,-0.000349065850398865929,0.8852309966115239348,55.237643900000001906,-6.4276122999999998342,-10.182999999999999829,0
1310127487.3210000992,6960742,3546,0.07417649320975899796,-0.024260076602721176997,0.89744830137548425864,55.237643900000001906,-6.4276122999999998342,-10.336999999999999744,0
1310127487.5209999084,6962022,3547,0.053232542185827048942,-0.0097738438111682462289,0.91542519267102584468,55.237637800000001675,-6.4276125999999997873,-10.525999999999999801,0
1310127487.7209999561,6963302,3548,0.014486232791552934238,-0.0059341194567807207388,0.91682145607262133247,55.237637800000001675,-6.4276125999999997873,-10.494999999999999218,0
1310127487.9210000038,6964582,3549,0.010821041362364842986,-0.01099557428756427549,0.92223197675380375049,55.237631700000001445,-6.427611699999999928,-10.548999999999999488,0
1310127488.1210000515,6965862,3550,0.01675516081914556199,-0.023212879051524585444,0.90547681593465823013,55.237631700000001445,-6.427611699999999928,-10.708000000000000185,0
1310127488.3210000992,6967142,3551,0.020943951023931952488,-0.018151424220741028959,0.87894781130434429528,55.237625800000003551,-6.4276112999999996944,-10.936999999999999389,0
1310127488.5209999084,6968422,3552,0.024085543677521744493,-0.00069813170079773185801,0.88313660150913075864,55.237625800000003551,-6.4276112999999996944,-11.124000000000000554,0
1310127488.7209999561,6969702,3553,0.027576202181510408445,0.0089011791851710802409,0.89325951117069779528,55.237618900000001076,-6.4276103999999998351,-11.406000000000000583,0
1310127488.9210000038,6970982,3554,0.034906585039886590949,0.02443460952792061297,0.89465577457229328306,55.237618900000001076,-6.4276103999999998351,-11.564000000000000057,0
1310127489.1210000515,6972262,3555,0.050614548307835550978,0.01413716694115406923,0.92083571335220826271,55.237611999999998602,-6.4276103000000004428,-11.846999999999999531,0
1310127489.3210000992,6973542,3556,0.06702064327658224796,0.015882496193148399471,0.90914200736384631618,55.237611999999998602,-6.4276103000000004428,-11.887999999999999901,0
1310127489.5209999084,6974822,3557,0.074351026134958433933,0.0033161255787892262442,0.90390601960786320923,55.237605000000002065,-6.4276105000000001155,-11.871000000000000441,0
1310127489.7209999561,6976102,3558,0.078714349264944263873,-0.043284165449459371944,0.89989176232827639001,55.237605000000002065,-6.4276105000000001155,-11.936999999999999389,0
1310127489.9210000038,6977382,3559,0.088837258926511369905,-0.043807764225057665985,0.86655597361518454935,55.237598400000003096,-6.4276106999999997882,-11.929999999999999716,0
1310127490.1210000515,6978662,3560,0.10506882097005862398,-0.047123889803846900903,0.8717919613711676563,55.237598400000003096,-6.4276106999999997882,-12.118999999999999773,0
1310127490.3210000992,6979942,3561,0.11170107212763709381,-0.043284165449459371944,0.89011791851710808654,55.237592399999996928,-6.4276096999999996484,-12.233999999999999986,0
1310127490.5209999084,6981222,3562,0.093375114981696621941,-0.055152404363020816891,0.9004153611038746563,55.237592399999996928,-6.4276096999999996484,-12.226000000000000867,0
1310127490.7209999561,6982502,3563,0.082728606544531221867,-0.015707963267948966968,0.90076442695427350049,55.237586600000000203,-6.4276071999999997431,-12.242000000000000881,0
1310127490.9210000038,6983782,3564,0.070336768855371489817,-0.0068067840827778849921,0.87912234422954371738,55.237586600000000203,-6.4276071999999997431,-12.255000000000000782,0
1310127491.1210000515,6985062,3565,0.065798912800186223904,-0.014311699866353501734,0.88278753565873180342,55.237581200000001047,-6.4276026999999995581,-12.117000000000000881,0
1310127491.3210000992,6986342,3566,0.050614548307835550978,-0.0019198621771937625282,0.87947141007994267259,55.237581200000001047,-6.4276026999999995581,-12.292999999999999261,0
1310127491.5209999084,6987622,3567,0.021816615649929118476,-0.03159045946109736297,0.87598075157595389761,55.237575800000001891,-6.4275963999999996545,-12.394000000000000128,0
1310127491.7209999561,6988902,3568,0.013264502315156904977,-0.038048177693476382955,0.87440995524915909876,55.237575800000001891,-6.4275963999999996545,-12.246999999999999886,0
1310127491.9210000038,6990182,3569,0.017453292519943295474,-0.021991148575128550979,0.87353729062316187726,55.237570800000000304,-6.4275890000000002189,-12.467000000000000526,0
1310127492.1210000515,6991462,3570,-0.03926990816987241395,-0.020769418098732519984,0.86917396749317610283,55.237570800000000304,-6.4275890000000002189,-12.608999999999999986,0
1310127492.3210000992,6992742,3571,-0.057770398241012307916,-0.022340214425527419456,0.87859874545394556211,55.237565899999999885,-6.427581299999999942,-12.656000000000000583,0
1310127492.5209999084,6994022,3572,-0.025307274153917775489,0.0090757121103705144793,0.86638144068998512726,55.237565899999999885,-6.427581299999999942,-12.426000000000000156,0
1310127492.7209999561,6995302,3573,-0.0033161255787892262442,0.032637657012293964931,0.89814643307628194702,55.237560899999998298,-6.4275732999999997119,-12.419999999999999929,0
1310127492.9210000038,6996582,3574,0.0057595865315812873678,0.020245819323134222473,0.89343404409589721737,55.237560899999998298,-6.4275732999999997119,-12.461999999999999744,0
1310127493.1210000515,6997862,3575,0.0087266462599716477372,0.021991148575128550979,0.88819805633991433247,55.237555499999999142,-6.4275653999999997623,-12.276999999999999247,0
1310127493.3210000992,6999142,3576,0.027925268031909273453,0.022165681500327983483,0.85730572857961462319,55.237555499999999142,-6.4275653999999997623,-12.273999999999999133,0
1310127493.5209999084,7000422,3577,0.041015237421866745926,0.010646508437165410482,0.87231556014676581157,55.237550099999999986,-6.427558399999999672,-12.14199999999999946,0
1310127493.7209999561,7001702,3578,0.04694935687864746493,0.012391837689159738989,0.87493355402475747606,55.237550099999999986,-6.427558399999999672,-11.807999999999999829,0
1310127493.9210000038,7002982,3579,0.046600291028248599923,0.0040142572795869579938,0.8915141819187034633,55.237545400000001905,-6.4275516000000001426,-11.638999999999999346,0
1310127494.1210000515,7004262,3580,0.028099800957108705957,-0.0029670597283903603694,0.92083571335220826271,55.237545400000001905,-6.4275516000000001426,-11.784000000000000696,0
1310127494.3220000267,7005543,3581,0.018151424220741028959,0.013089969389957470738,0.9066985464110541848,55.237541399999997793,-6.4275453999999996313,-11.564999999999999503,0
1310127494.5220000744,7006823,3582,0.0048869219055841231145,0.010646508437165410482,0.90565134885985754121,55.237541399999997793,-6.4275453999999996313,-11.351000000000000867,0
1310127494.7219998837,7008103,3583,0.0019198621771937625282,-0.0010471975511965976244,0.89692470259988599235,55.237538100000001862,-6.4275390999999997277,-11.227000000000000313,0
1310127494.9219999313,7009383,3584,0.008377580409572780995,-0.027750735106709840949,0.86725410531598234876,55.237538100000001862,-6.4275390999999997277,-10.830000000000000071,0
1310127495.121999979,7010663,3585,0.0099483767363676769979,-0.027227136331111539969,0.87982047593034140576,55.237535200000003499,-6.427532499999999871,-10.731999999999999318,0
